plz4,plzz,plznamk,plznaml,ktkz,gdenr,gdenamk,source,changed
6403,0,Küssnacht am Rigi,Küssnacht am Rigi,SZ,1331,Küssnacht (SZ),GEN,20.05.2023 05:34:00
6405,0,Immensee,Immensee,SZ,1331,Küssnacht (SZ),GEN,20.05.2023 05:34:00
8852,0,Altendorf,Altendorf,SZ,1341,Altendorf,GEN,20.05.2023 05:34:00
8846,0,Willerzell,Willerzell,SZ,1341,Altendorf,GEN,20.05.2023 05:34:00
8853,0,Lachen SZ,Lachen SZ,SZ,1342,Galgenen,GEN,20.05.2023 05:34:00
8854,2,Galgenen,Galgenen,SZ,1342,Galgenen,GEN,20.05.2023 05:34:00
8854,0,Siebnen,Siebnen,SZ,1342,Galgenen,GEN,20.05.2023 05:34:00
8858,0,Innerthal,Innerthal,SZ,1343,Innerthal,GEN,20.05.2023 05:34:00
8853,0,Lachen SZ,Lachen SZ,SZ,1344,Lachen,GEN,20.05.2023 05:34:00
8864,0,Reichenburg,Reichenburg,SZ,1345,Reichenburg,GEN,20.05.2023 05:34:00
8854,0,Siebnen,Siebnen,SZ,1346,Schübelbach,GEN,20.05.2023 05:34:00
8855,0,Wangen SZ,Wangen SZ,SZ,1346,Schübelbach,GEN,20.05.2023 05:34:00
8862,0,Schübelbach,Schübelbach,SZ,1346,Schübelbach,GEN,20.05.2023 05:34:00
8863,0,Buttikon SZ,Buttikon SZ,SZ,1346,Schübelbach,GEN,20.05.2023 05:34:00
8855,0,Wangen SZ,Wangen SZ,SZ,1347,Tuggen,GEN,20.05.2023 05:34:00
8856,0,Tuggen,Tuggen,SZ,1347,Tuggen,GEN,20.05.2023 05:34:00
8730,0,Uznach,Uznach,SZ,1347,Tuggen,GEN,20.05.2023 05:34:00
8857,0,Vorderthal,Vorderthal,SZ,1348,Vorderthal,GEN,20.05.2023 05:34:00
8854,0,Siebnen,Siebnen,SZ,1349,Wangen (SZ),GEN,20.05.2023 05:34:00
8855,0,Wangen SZ,Wangen SZ,SZ,1349,Wangen (SZ),GEN,20.05.2023 05:34:00
8853,0,Lachen SZ,Lachen SZ,SZ,1349,Wangen (SZ),GEN,20.05.2023 05:34:00
8849,0,Alpthal,Alpthal,SZ,1361,Alpthal,GEN,20.05.2023 05:34:00
8843,0,Oberiberg,Oberiberg,SZ,1361,Alpthal,GEN,20.05.2023 05:34:00
6430,0,Schwyz,Schwyz,SZ,1361,Alpthal,GEN,20.05.2023 05:34:00
6415,0,Arth,Arth,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6318,0,Walchwil,Walchwil,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6414,0,Oberarth,Oberarth,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6410,0,Goldau,Goldau,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6416,0,Steinerberg,Steinerberg,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6356,0,Rigi Kaltbad,Rigi Kaltbad,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6410,3,Rigi Staffel,Rigi Staffel,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6410,4,Rigi Kulm,Rigi Kulm,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6410,2,Rigi Klösterli,Rigi Klösterli,SZ,1362,Arth,GEN,20.05.2023 05:34:00
6434,0,Illgau,Illgau,SZ,1363,Illgau,GEN,20.05.2023 05:34:00
6440,0,Brunnen,Brunnen,SZ,1364,Ingenbohl,GEN,20.05.2023 05:34:00
6423,0,Seewen SZ,Seewen SZ,SZ,1364,Ingenbohl,GEN,20.05.2023 05:34:00
6424,0,Lauerz,Lauerz,SZ,1365,Lauerz,GEN,20.05.2023 05:34:00
6443,0,Morschach,Morschach,SZ,1366,Morschach,GEN,20.05.2023 05:34:00
6440,0,Brunnen,Brunnen,SZ,1366,Morschach,GEN,20.05.2023 05:34:00
6452,0,Sisikon,Sisikon,SZ,1366,Morschach,GEN,20.05.2023 05:34:00
6433,0,Stoos SZ,Stoos SZ,SZ,1366,Morschach,GEN,20.05.2023 05:34:00
6436,3,Ried (Muotathal),Ried (Muotathal),SZ,1367,Muotathal,GEN,20.05.2023 05:34:00
6433,0,Stoos SZ,Stoos SZ,SZ,1367,Muotathal,GEN,20.05.2023 05:34:00
6436,0,Muotathal,Muotathal,SZ,1367,Muotathal,GEN,20.05.2023 05:34:00
6436,2,Bisisthal,Bisisthal,SZ,1367,Muotathal,GEN,20.05.2023 05:34:00
8750,3,Klöntal,Klöntal,SZ,1367,Muotathal,GEN,20.05.2023 05:34:00
8842,0,Unteriberg,Unteriberg,SZ,1368,Oberiberg,GEN,20.05.2023 05:34:00
8843,0,Oberiberg,Oberiberg,SZ,1368,Oberiberg,GEN,20.05.2023 05:34:00
6452,2,Riemenstalden,Riemenstalden,SZ,1369,Riemenstalden,GEN,20.05.2023 05:34:00
6418,0,Rothenthurm,Rothenthurm,SZ,1370,Rothenthurm,GEN,20.05.2023 05:34:00
6417,0,Sattel,Sattel,SZ,1371,Sattel,GEN,20.05.2023 05:34:00
6418,0,Rothenthurm,Rothenthurm,SZ,1371,Sattel,GEN,20.05.2023 05:34:00
6315,3,Morgarten,Morgarten,SZ,1371,Sattel,GEN,20.05.2023 05:34:00
6422,0,Steinen,Steinen,SZ,1371,Sattel,GEN,20.05.2023 05:34:00
6423,0,Seewen SZ,Seewen SZ,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
6438,0,Ibach,Ibach,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
6430,0,Schwyz,Schwyz,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
6417,0,Sattel,Sattel,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
6432,0,Rickenbach SZ,Rickenbach b. Schwyz,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
8843,0,Oberiberg,Oberiberg,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
8842,0,Unteriberg,Unteriberg,SZ,1372,Schwyz,GEN,20.05.2023 05:34:00
6422,0,Steinen,Steinen,SZ,1373,Steinen,GEN,20.05.2023 05:34:00
6416,0,Steinerberg,Steinerberg,SZ,1374,Steinerberg,GEN,20.05.2023 05:34:00
8842,0,Unteriberg,Unteriberg,SZ,1375,Unteriberg,GEN,20.05.2023 05:34:00
8845,0,Studen SZ,Studen SZ,SZ,1375,Unteriberg,GEN,20.05.2023 05:34:00
8844,0,Euthal,Euthal,SZ,1375,Unteriberg,GEN,20.05.2023 05:34:00
6053,0,Alpnachstad,Alpnachstad,OW,1401,Alpnach,GEN,20.05.2023 05:34:00
6010,0,Kriens,Kriens,OW,1401,Alpnach,GEN,20.05.2023 05:34:00
6055,0,Alpnach Dorf,Alpnach Dorf,OW,1401,Alpnach,GEN,20.05.2023 05:34:00
6064,0,Kerns,Kerns,OW,1401,Alpnach,GEN,20.05.2023 05:34:00
6388,0,Grafenort,Grafenort,OW,1402,Engelberg,GEN,20.05.2023 05:34:00
6390,0,Engelberg,Engelberg,OW,1402,Engelberg,GEN,20.05.2023 05:34:00
6074,0,Giswil,Giswil,OW,1403,Giswil,GEN,20.05.2023 05:34:00
6174,0,Sörenberg,Sörenberg,OW,1403,Giswil,GEN,20.05.2023 05:34:00
6064,0,Kerns,Kerns,OW,1404,Kerns,GEN,20.05.2023 05:34:00
6067,0,Melchtal,Melchtal,OW,1404,Kerns,GEN,20.05.2023 05:34:00
6066,0,St. Niklausen OW,St. Niklausen OW,OW,1404,Kerns,GEN,20.05.2023 05:34:00
6068,0,Melchsee-Frutt,Melchsee-Frutt,OW,1404,Kerns,GEN,20.05.2023 05:34:00
6078,2,Bürglen OW,Bürglen OW,OW,1405,Lungern,GEN,20.05.2023 05:34:00
6078,0,Lungern,Lungern,OW,1405,Lungern,GEN,20.05.2023 05:34:00
6067,0,Melchtal,Melchtal,OW,1406,Sachseln,GEN,20.05.2023 05:34:00
6073,0,Flüeli-Ranft,Flüeli-Ranft,OW,1406,Sachseln,GEN,20.05.2023 05:34:00
6072,0,Sachseln,Sachseln,OW,1406,Sachseln,GEN,20.05.2023 05:34:00
6074,0,Giswil,Giswil,OW,1406,Sachseln,GEN,20.05.2023 05:34:00
6060,0,Sarnen,Sarnen,OW,1407,Sarnen,GEN,20.05.2023 05:34:00
6056,0,Kägiswil,Kägiswil,OW,1407,Sarnen,GEN,20.05.2023 05:34:00
6063,0,Stalden (Sarnen),Stalden (Sarnen),OW,1407,Sarnen,GEN,20.05.2023 05:34:00
6060,2,Ramersberg,Ramersberg,OW,1407,Sarnen,GEN,20.05.2023 05:34:00
6062,0,Wilen (Sarnen),Wilen (Sarnen),OW,1407,Sarnen,GEN,20.05.2023 05:34:00
6375,0,Beckenried,Beckenried,NW,1501,Beckenried,GEN,20.05.2023 05:34:00
6376,0,Emmetten,Emmetten,NW,1501,Beckenried,GEN,20.05.2023 05:34:00
6374,0,Buochs,Buochs,NW,1502,Buochs,GEN,20.05.2023 05:34:00
6383,0,Dallenwil,Dallenwil,NW,1503,Dallenwil,GEN,20.05.2023 05:34:00
6383,4,Wirzweli,Wirzweli,NW,1503,Dallenwil,GEN,20.05.2023 05:34:01
6383,3,Wiesenberg,Wiesenberg,NW,1503,Dallenwil,GEN,20.05.2023 05:34:01
6377,0,Seelisberg,Seelisberg,NW,1504,Emmetten,GEN,20.05.2023 05:34:00
6376,0,Emmetten,Emmetten,NW,1504,Emmetten,GEN,20.05.2023 05:34:00
6374,0,Buochs,Buochs,NW,1505,Ennetbürgen,GEN,20.05.2023 05:34:00
6373,0,Ennetbürgen,Ennetbürgen,NW,1505,Ennetbürgen,GEN,20.05.2023 05:34:00
6363,0,Obbürgen,Obbürgen,NW,1505,Ennetbürgen,GEN,20.05.2023 05:34:00
6363,2,Bürgenstock,Bürgenstock,NW,1505,Ennetbürgen,GEN,20.05.2023 05:34:01
6372,0,Ennetmoos,Ennetmoos,NW,1506,Ennetmoos,GEN,20.05.2023 05:34:00
6362,0,Stansstad,Stansstad,NW,1506,Ennetmoos,GEN,20.05.2023 05:34:00
6370,0,Stans,Stans,NW,1506,Ennetmoos,GEN,20.05.2023 05:34:00
6052,0,Hergiswil NW,Hergiswil NW,NW,1507,Hergiswil (NW),GEN,20.05.2023 05:34:00
6013,0,Eigenthal,Eigenthal,NW,1507,Hergiswil (NW),GEN,20.05.2023 05:34:00
6010,0,Kriens,Kriens,NW,1507,Hergiswil (NW),GEN,20.05.2023 05:34:00
6370,0,Stans,Stans,NW,1508,Oberdorf (NW),GEN,20.05.2023 05:34:00
6370,41,Oberdorf NW,Oberdorf NW,NW,1508,Oberdorf (NW),GEN,20.05.2023 05:34:01
6374,0,Buochs,Buochs,NW,1508,Oberdorf (NW),GEN,20.05.2023 05:34:00
6382,0,Büren NW,Büren NW,NW,1508,Oberdorf (NW),GEN,20.05.2023 05:34:00
6383,2,Niederrickenbach,Niederrickenbach,NW,1508,Oberdorf (NW),GEN,20.05.2023 05:34:00
6370,0,Stans,Stans,NW,1509,Stans,GEN,20.05.2023 05:34:00
6372,0,Ennetmoos,Ennetmoos,NW,1509,Stans,GEN,20.05.2023 05:34:00
6373,0,Ennetbürgen,Ennetbürgen,NW,1509,Stans,GEN,20.05.2023 05:34:00
6362,0,Stansstad,Stansstad,NW,1510,Stansstad,GEN,20.05.2023 05:34:00
6363,1,Fürigen,Fürigen,NW,1510,Stansstad,GEN,20.05.2023 05:34:01
6363,0,Obbürgen,Obbürgen,NW,1510,Stansstad,GEN,20.05.2023 05:34:00
6363,2,Bürgenstock,Bürgenstock,NW,1510,Stansstad,GEN,20.05.2023 05:34:01
6365,0,Kehrsiten,Kehrsiten,NW,1510,Stansstad,GEN,20.05.2023 05:34:00
6386,0,Wolfenschiessen,Wolfenschiessen,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
6387,0,Oberrickenbach,Oberrickenbach,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
6388,0,Grafenort,Grafenort,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
6390,0,Engelberg,Engelberg,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
6383,2,Niederrickenbach,Niederrickenbach,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
6383,0,Dallenwil,Dallenwil,NW,1511,Wolfenschiessen,GEN,20.05.2023 05:34:00
8865,0,Bilten,Bilten,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8757,0,Filzbach,Filzbach,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8872,0,Weesen,Weesen,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8753,0,Mollis,Mollis,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8754,0,Netstal,Netstal,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8874,0,Mühlehorn,Mühlehorn,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8752,0,Näfels,Näfels,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8868,0,Oberurnen,Oberurnen,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8866,0,Ziegelbrücke,Ziegelbrücke,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8867,0,Niederurnen,Niederurnen,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8758,0,Obstalden,Obstalden,GL,1630,Glarus Nord,GEN,20.05.2023 05:34:00
8777,2,Betschwanden,Betschwanden,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:01
8784,0,Braunwald,Braunwald,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8777,0,Diesbach GL,Diesbach GL,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8767,0,Elm,Elm,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8765,0,Engi,Engi,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8773,0,Haslen GL,Haslen GL,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8775,2,Hätzingen,Hätzingen,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8774,0,Leuggelbach,Leuggelbach,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:01
8783,0,Linthal,Linthal,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8775,1,Luchsingen,Luchsingen,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8756,0,Mitlödi,Mitlödi,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8755,0,Ennenda,Ennenda,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8772,0,Nidfurn,Nidfurn,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8782,0,Rüti GL,Rüti GL,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8762,0,Schwanden GL,Schwanden GL,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8762,2,Schwändi GL,Schwändi b. Schwanden,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8762,3,Sool,Sool,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8766,0,Matt,Matt,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8750,0,Glarus,Glarus,GL,1631,Glarus Süd,GEN,20.05.2023 05:34:00
8755,0,Ennenda,Ennenda,GL,1632,Glarus,GEN,20.05.2023 05:34:00
8750,0,Glarus,Glarus,GL,1632,Glarus,GEN,20.05.2023 05:34:00
8750,3,Klöntal,Klöntal,GL,1632,Glarus,GEN,20.05.2023 05:34:00
8754,0,Netstal,Netstal,GL,1632,Glarus,GEN,20.05.2023 05:34:00
8750,2,Riedern,Riedern,GL,1632,Glarus,GEN,20.05.2023 05:34:00
6340,0,Baar,Baar,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6300,0,Zug,Zug,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6319,0,Allenwinden,Allenwinden,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6314,1,Neuägeri,Neuägeri,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6345,0,Neuheim,Neuheim,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6312,0,Steinhausen,Steinhausen,ZG,1701,Baar,GEN,20.05.2023 05:34:00
6330,0,Cham,Cham,ZG,1702,Cham,GEN,20.05.2023 05:34:00
6332,0,Hagendorn,Hagendorn,ZG,1702,Cham,GEN,20.05.2023 05:34:00
6331,0,Hünenberg,Hünenberg,ZG,1702,Cham,GEN,20.05.2023 05:34:00
6331,0,Hünenberg,Hünenberg,ZG,1703,Hünenberg,GEN,20.05.2023 05:34:00
5642,0,Mühlau,Mühlau,ZG,1703,Hünenberg,GEN,20.05.2023 05:34:00
6332,0,Hagendorn,Hagendorn,ZG,1703,Hünenberg,GEN,20.05.2023 05:34:00
6333,0,Hünenberg See,Hünenberg See,ZG,1703,Hünenberg,GEN,20.05.2023 05:34:01
6313,0,Menzingen,Menzingen,ZG,1704,Menzingen,GEN,20.05.2023 05:34:00
6313,2,Edlibach,Edlibach,ZG,1704,Menzingen,GEN,20.05.2023 05:34:00
6313,3,Finstersee,Finstersee,ZG,1704,Menzingen,GEN,20.05.2023 05:34:00
6315,2,Alosen,Alosen,ZG,1704,Menzingen,GEN,20.05.2023 05:34:00
6314,1,Neuägeri,Neuägeri,ZG,1704,Menzingen,GEN,20.05.2023 05:34:00
6345,0,Neuheim,Neuheim,ZG,1705,Neuheim,GEN,20.05.2023 05:34:00
6340,0,Baar,Baar,ZG,1705,Neuheim,GEN,20.05.2023 05:34:00
6340,4,Sihlbrugg,Sihlbrugg,ZG,1705,Neuheim,GEN,20.05.2023 05:34:00
6313,0,Menzingen,Menzingen,ZG,1705,Neuheim,GEN,20.05.2023 05:34:00
6315,0,Oberägeri,Oberägeri,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6314,0,Unterägeri,Unterägeri,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6315,2,Alosen,Alosen,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6315,3,Morgarten,Morgarten,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6417,0,Sattel,Sattel,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6418,0,Rothenthurm,Rothenthurm,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
8836,0,Bennau,Bennau,ZG,1706,Oberägeri,GEN,20.05.2023 05:34:00
6343,0,Rotkreuz,Rotkreuz,ZG,1707,Risch,GEN,20.05.2023 05:34:00
6343,4,Holzhäusern ZG,Holzhäusern ZG,ZG,1707,Risch,GEN,20.05.2023 05:34:01
6343,2,Buonas,Buonas,ZG,1707,Risch,GEN,20.05.2023 05:34:01
6343,3,Risch,Risch,ZG,1707,Risch,GEN,20.05.2023 05:34:01
6312,0,Steinhausen,Steinhausen,ZG,1708,Steinhausen,GEN,20.05.2023 05:34:00
6330,0,Cham,Cham,ZG,1708,Steinhausen,GEN,20.05.2023 05:34:00
6314,0,Unterägeri,Unterägeri,ZG,1709,Unterägeri,GEN,20.05.2023 05:34:00
6314,1,Neuägeri,Neuägeri,ZG,1709,Unterägeri,GEN,20.05.2023 05:34:00
6315,0,Oberägeri,Oberägeri,ZG,1709,Unterägeri,GEN,20.05.2023 05:34:00
6318,0,Walchwil,Walchwil,ZG,1710,Walchwil,GEN,20.05.2023 05:34:00
6317,0,Oberwil b. Zug,Oberwil b. Zug,ZG,1711,Zug,GEN,20.05.2023 05:34:00
6300,5,Zugerberg,Zugerberg,ZG,1711,Zug,GEN,20.05.2023 05:34:00
6318,0,Walchwil,Walchwil,ZG,1711,Zug,GEN,20.05.2023 05:34:00
6300,0,Zug,Zug,ZG,1711,Zug,GEN,20.05.2023 05:34:00
6314,1,Neuägeri,Neuägeri,ZG,1711,Zug,GEN,20.05.2023 05:34:00
6330,0,Cham,Cham,ZG,1711,Zug,GEN,20.05.2023 05:34:00
1473,2,Châtillon FR,Châtillon FR,FR,2008,Châtillon (FR),GEN,20.05.2023 05:34:01
1482,0,Cugy FR,Cugy FR,FR,2011,Cugy (FR),GEN,20.05.2023 05:33:58
1483,3,Vesin,Vesin,FR,2011,Cugy (FR),GEN,20.05.2023 05:34:01
1532,0,Fétigny,Fétigny,FR,2016,Fétigny,GEN,20.05.2023 05:33:58
1544,0,Gletterens,Gletterens,FR,2022,Gletterens,GEN,20.05.2023 05:33:58
1470,4,Bollion,Bollion,FR,2025,Lully (FR),GEN,20.05.2023 05:34:01
1470,2,Lully FR,Lully FR,FR,2025,Lully (FR),GEN,20.05.2023 05:34:01
1470,3,Seiry,Seiry,FR,2025,Lully (FR),GEN,20.05.2023 05:34:01
1470,0,Estavayer-le-Lac,Estavayer-le-Lac,FR,2025,Lully (FR),GEN,20.05.2023 05:33:58
1533,0,Ménières,Ménières,FR,2027,Ménières,GEN,20.05.2023 05:33:58
1775,3,Grandsivaz,Grandsivaz,FR,2029,Montagny (FR),GEN,20.05.2023 05:34:01
1775,2,Mannens,Mannens,FR,2029,Montagny (FR),GEN,20.05.2023 05:34:01
1776,0,Montagny-la-Ville,Montagny-la-Ville,FR,2029,Montagny (FR),GEN,20.05.2023 05:33:59
1774,0,Cousset,Cousset,FR,2029,Montagny (FR),GEN,20.05.2023 05:33:59
1562,0,Corcelles-Payerne,Corcelles-près-Payerne,FR,2029,Montagny (FR),GEN,20.05.2023 05:33:58
1774,2,Montagny-les-Monts,Montagny-les-Monts,FR,2029,Montagny (FR),GEN,20.05.2023 05:34:01
1485,0,Nuvilly,Nuvilly,FR,2035,Nuvilly,GEN,20.05.2023 05:33:58
1410,4,Prévondavaux,Prévondavaux,FR,2038,Prévondavaux,GEN,20.05.2023 05:34:01
1566,2,Les Friques,Les Friques,FR,2041,Saint-Aubin (FR),GEN,20.05.2023 05:34:01
1566,0,St-Aubin FR,St-Aubin FR,FR,2041,Saint-Aubin (FR),GEN,20.05.2023 05:33:58
1541,3,Sévaz,Sévaz,FR,2043,Sévaz,GEN,20.05.2023 05:34:01
1534,2,Chapelle (Broye),Chapelle (Broye),FR,2044,Surpierre,GEN,20.05.2023 05:34:01
1529,0,Cheiry,Cheiry,FR,2044,Surpierre,GEN,20.05.2023 05:33:58
1528,2,Praratoud,Praratoud,FR,2044,Surpierre,GEN,20.05.2023 05:34:01
1528,0,Surpierre,Surpierre,FR,2044,Surpierre,GEN,20.05.2023 05:33:58
1527,0,Villeneuve FR,Villeneuve FR,FR,2044,Surpierre,GEN,20.05.2023 05:33:58
1525,2,Seigneux,Seigneux,FR,2044,Surpierre,GEN,20.05.2023 05:34:01
1565,2,Vallon,Vallon,FR,2045,Vallon,GEN,20.05.2023 05:34:01
1484,0,Aumont,Aumont,FR,2050,Les Montets,GEN,20.05.2023 05:33:58
1483,2,Frasses,Frasses,FR,2050,Les Montets,GEN,20.05.2023 05:34:01
1534,0,Sassel,Sassel,FR,2050,Les Montets,GEN,20.05.2023 05:33:58
1484,2,Granges-de-Vesin,Granges-de-Vesin,FR,2050,Les Montets,GEN,20.05.2023 05:34:01
1483,0,Montet (Broye),Montet (Broye),FR,2050,Les Montets,GEN,20.05.2023 05:33:58
1568,0,Portalban,Portalban,FR,2051,Delley-Portalban,GEN,20.05.2023 05:33:58
1567,0,Delley,Delley,FR,2051,Delley-Portalban,GEN,20.05.2023 05:33:58
1772,0,Grolley,Grolley,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:59
1773,2,Chandon,Chandon,FR,2053,Belmont-Broye,GEN,20.05.2023 05:34:01
1773,0,Léchelles,Léchelles,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:59
1564,0,Domdidier,Domdidier,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:58
1580,0,Avenches,Avenches,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:58
1580,2,Oleyres,Oleyres,FR,2053,Belmont-Broye,GEN,20.05.2023 05:34:01
1563,0,Dompierre FR,Dompierre FR,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:58
1773,3,Russy,Russy,FR,2053,Belmont-Broye,GEN,20.05.2023 05:34:01
1776,0,Montagny-la-Ville,Montagny-la-Ville,FR,2053,Belmont-Broye,GEN,20.05.2023 05:33:59
1475,0,Autavaux,Autavaux,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1541,0,Bussy FR,Bussy FR,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1470,0,Estavayer-le-Lac,Estavayer-le-Lac,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1473,0,Font,Font,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1475,2,Forel FR,Forel FR,FR,2054,Estavayer,GEN,20.05.2023 05:34:01
1489,0,Murist,Murist,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1475,3,Montbrelloz,Montbrelloz,FR,2054,Estavayer,GEN,20.05.2023 05:34:01
1541,2,Morens FR,Morens FR,FR,2054,Estavayer,GEN,20.05.2023 05:34:01
1542,0,Rueyres-les-Prés,Rueyres-les-Prés,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1486,0,Vuissens,Vuissens,FR,2054,Estavayer,GEN,20.05.2023 05:33:58
1474,0,Châbles FR,Châbles FR,FR,2055,Cheyres-Châbles,GEN,20.05.2023 05:33:58
1468,0,Cheyres,Cheyres,FR,2055,Cheyres-Châbles,GEN,20.05.2023 05:33:58
1673,3,Auboranges,Auboranges,FR,2061,Auboranges,GEN,20.05.2023 05:33:58
1681,0,Billens,Billens,FR,2063,Billens-Hennens,GEN,20.05.2023 05:33:59
1681,2,Hennens,Hennens,FR,2063,Billens-Hennens,GEN,20.05.2023 05:34:01
1608,4,Chapelle (Glâne),Chapelle (Glâne),FR,2066,Chapelle (Glâne),GEN,20.05.2023 05:34:01
1689,0,Châtelard-p-Romont,Le Châtelard-près-Romont,FR,2067,Le Châtelard,GEN,20.05.2023 05:33:59
1553,0,Châtonnaye,Châtonnaye,FR,2068,Châtonnaye,GEN,20.05.2023 05:33:58
1085,0,Vulliens,Vulliens,FR,2072,Ecublens (FR),GEN,20.05.2023 05:33:58
1673,4,Ecublens FR,Ecublens FR,FR,2072,Ecublens (FR),GEN,20.05.2023 05:33:58
1686,0,Grangettes-Romont,Grangettes-près-Romont,FR,2079,Grangettes,GEN,20.05.2023 05:33:59
1692,0,Massonnens,Massonnens,FR,2086,Massonnens,GEN,20.05.2023 05:33:59
1680,2,Berlens,Berlens,FR,2087,Mézières (FR),GEN,20.05.2023 05:34:01
1684,0,Mézières FR,Mézières FR,FR,2087,Mézières (FR),GEN,20.05.2023 05:33:59
1680,0,Romont FR,Romont FR,FR,2087,Mézières (FR),GEN,20.05.2023 05:33:59
1674,2,Montet (Glâne),Montet (Glâne),FR,2089,Montet (Glâne),GEN,20.05.2023 05:34:01
1680,0,Romont FR,Romont FR,FR,2096,Romont (FR),GEN,20.05.2023 05:33:59
1675,2,Blessens,Blessens,FR,2097,Rue,GEN,20.05.2023 05:34:01
1673,2,Gillarens,Gillarens,FR,2097,Rue,GEN,20.05.2023 05:34:01
1608,4,Chapelle (Glâne),Chapelle (Glâne),FR,2097,Rue,GEN,20.05.2023 05:34:01
1673,0,Promasens,Promasens,FR,2097,Rue,GEN,20.05.2023 05:33:59
1673,5,Rue,Rue,FR,2097,Rue,GEN,20.05.2023 05:33:59
1676,0,Chavannes-Forts,Chavannes-les-Forts,FR,2099,Siviriez,GEN,20.05.2023 05:33:59
1679,0,Villaraboud,Villaraboud,FR,2099,Siviriez,GEN,20.05.2023 05:33:59
1677,0,Prez-vers-Siviriez,Prez-vers-Siviriez,FR,2099,Siviriez,GEN,20.05.2023 05:33:59
1678,0,Siviriez,Siviriez,FR,2099,Siviriez,GEN,20.05.2023 05:33:59
