plz4,plzz,plznamk,plznaml,ktkz,gdenr,gdenamk,source,changed
8461,0,Oerlingen,Oerlingen,ZH,33,Kleinandelfingen,GEN,20.05.2023 05:34:00
8453,0,Alten,Alten,ZH,33,Kleinandelfingen,GEN,20.05.2023 05:34:00
8447,0,Dachsen,Dachsen,ZH,34,Laufen-Uhwiesen,GEN,20.05.2023 05:34:00
8212,4,Nohl,Nohl,ZH,34,Laufen-Uhwiesen,GEN,20.05.2023 05:34:01
8460,0,Marthalen,Marthalen,ZH,35,Marthalen,GEN,20.05.2023 05:34:00
8464,0,Ellikon am Rhein,Ellikon am Rhein,ZH,35,Marthalen,GEN,20.05.2023 05:34:00
8475,0,Ossingen,Ossingen,ZH,37,Ossingen,GEN,20.05.2023 05:34:00
8466,0,Trüllikon,Trüllikon,ZH,37,Ossingen,GEN,20.05.2023 05:34:00
8462,0,Rheinau,Rheinau,ZH,38,Rheinau,GEN,20.05.2023 05:34:00
8464,0,Ellikon am Rhein,Ellikon am Rhein,ZH,38,Rheinau,GEN,20.05.2023 05:34:00
8478,0,Thalheim,Thalheim an der Thur,ZH,39,Thalheim an der Thur,GEN,20.05.2023 05:34:00
8466,0,Trüllikon,Trüllikon,ZH,40,Trüllikon,GEN,20.05.2023 05:34:00
8465,0,Rudolfingen,Rudolfingen,ZH,40,Trüllikon,GEN,20.05.2023 05:34:00
8465,1,Wildensbuch,Wildensbuch,ZH,40,Trüllikon,GEN,20.05.2023 05:34:01
8467,0,Truttikon,Truttikon,ZH,41,Truttikon,GEN,20.05.2023 05:34:00
8459,0,Volken,Volken,ZH,43,Volken,GEN,20.05.2023 05:34:00
8184,0,Bachenbülach,Bachenbülach,ZH,51,Bachenbülach,GEN,20.05.2023 05:34:00
8180,0,Bülach,Bülach,ZH,51,Bachenbülach,GEN,20.05.2023 05:34:00
8303,0,Bassersdorf,Bassersdorf,ZH,52,Bassersdorf,GEN,20.05.2023 05:34:00
8180,0,Bülach,Bülach,ZH,53,Bülach,GEN,20.05.2023 05:34:00
8192,0,Glattfelden,Glattfelden,ZH,53,Bülach,GEN,20.05.2023 05:34:00
8305,0,Dietlikon,Dietlikon,ZH,54,Dietlikon,GEN,20.05.2023 05:34:00
8600,0,Dübendorf,Dübendorf,ZH,54,Dietlikon,GEN,20.05.2023 05:34:00
8193,0,Eglisau,Eglisau,ZH,55,Eglisau,GEN,20.05.2023 05:34:00
8197,0,Rafz,Rafz,ZH,55,Eglisau,GEN,20.05.2023 05:34:00
8424,0,Embrach,Embrach,ZH,56,Embrach,GEN,20.05.2023 05:34:00
8427,2,Freienstein,Freienstein,ZH,57,Freienstein-Teufen,GEN,20.05.2023 05:34:01
8428,0,Teufen ZH,Teufen ZH,ZH,57,Freienstein-Teufen,GEN,20.05.2023 05:34:00
8193,0,Eglisau,Eglisau,ZH,58,Glattfelden,GEN,20.05.2023 05:34:00
8192,1,Zweidlen,Zweidlen,ZH,58,Glattfelden,GEN,20.05.2023 05:34:00
8192,0,Glattfelden,Glattfelden,ZH,58,Glattfelden,GEN,20.05.2023 05:34:00
8180,0,Bülach,Bülach,ZH,58,Glattfelden,GEN,20.05.2023 05:34:00
8182,0,Hochfelden,Hochfelden,ZH,59,Hochfelden,GEN,20.05.2023 05:34:00
8192,0,Glattfelden,Glattfelden,ZH,59,Hochfelden,GEN,20.05.2023 05:34:00
8181,0,Höri,Höri,ZH,60,Höri,GEN,20.05.2023 05:34:00
8194,0,Hüntwangen,Hüntwangen,ZH,61,Hüntwangen,GEN,20.05.2023 05:34:00
8196,0,Wil ZH,Wil ZH,ZH,61,Hüntwangen,GEN,20.05.2023 05:34:00
8302,0,Kloten,Kloten,ZH,62,Kloten,GEN,20.05.2023 05:34:00
8309,0,Nürensdorf,Nürensdorf,ZH,62,Kloten,GEN,20.05.2023 05:34:00
8426,0,Lufingen,Lufingen,ZH,63,Lufingen,GEN,20.05.2023 05:34:00
8309,0,Nürensdorf,Nürensdorf,ZH,64,Nürensdorf,GEN,20.05.2023 05:34:00
8425,0,Oberembrach,Oberembrach,ZH,65,Oberembrach,GEN,20.05.2023 05:34:00
8152,0,Glattbrugg,Glattbrugg,ZH,66,Opfikon,GEN,20.05.2023 05:34:00
8152,1,Opfikon,Opfikon,ZH,66,Opfikon,GEN,20.05.2023 05:34:00
8152,2,Glattpark(Opfikon),Glattpark (Opfikon),ZH,66,Opfikon,GEN,20.05.2023 05:34:01
8052,0,Zürich,Zürich,ZH,66,Opfikon,GEN,20.05.2023 05:34:00
8427,3,Rorbas,Rorbas,ZH,68,Rorbas,GEN,20.05.2023 05:34:01
8428,0,Teufen ZH,Teufen ZH,ZH,68,Rorbas,GEN,20.05.2023 05:34:00
8304,0,Wallisellen,Wallisellen,ZH,69,Wallisellen,GEN,20.05.2023 05:34:00
8195,0,Wasterkingen,Wasterkingen,ZH,70,Wasterkingen,GEN,20.05.2023 05:34:00
8196,0,Wil ZH,Wil ZH,ZH,70,Wasterkingen,GEN,20.05.2023 05:34:00
8196,0,Wil ZH,Wil ZH,ZH,71,Wil (ZH),GEN,20.05.2023 05:34:00
8197,0,Rafz,Rafz,ZH,71,Wil (ZH),GEN,20.05.2023 05:34:00
8185,0,Winkel,Winkel,ZH,72,Winkel,GEN,20.05.2023 05:34:00
8180,0,Bülach,Bülach,ZH,72,Winkel,GEN,20.05.2023 05:34:00
8164,0,Bachs,Bachs,ZH,81,Bachs,GEN,20.05.2023 05:34:00
8113,0,Boppelsen,Boppelsen,ZH,82,Boppelsen,GEN,20.05.2023 05:34:00
8158,0,Regensberg,Regensberg,ZH,82,Boppelsen,GEN,20.05.2023 05:34:00
8107,0,Buchs ZH,Buchs ZH,ZH,83,Buchs (ZH),GEN,20.05.2023 05:34:00
8108,0,Dällikon,Dällikon,ZH,84,Dällikon,GEN,20.05.2023 05:34:00
8114,0,Dänikon ZH,Dänikon ZH,ZH,85,Dänikon,GEN,20.05.2023 05:34:00
8157,0,Dielsdorf,Dielsdorf,ZH,86,Dielsdorf,GEN,20.05.2023 05:34:00
8115,0,Hüttikon,Hüttikon,ZH,87,Hüttikon,GEN,20.05.2023 05:34:00
8173,0,Neerach,Neerach,ZH,88,Neerach,GEN,20.05.2023 05:34:00
8162,0,Steinmaur,Steinmaur,ZH,88,Neerach,GEN,20.05.2023 05:34:00
8164,0,Bachs,Bachs,ZH,88,Neerach,GEN,20.05.2023 05:34:00
8174,0,Stadel,Stadel b. Niederglatt,ZH,88,Neerach,GEN,20.05.2023 05:34:00
8172,0,Niederglatt ZH,Niederglatt ZH,ZH,89,Niederglatt,GEN,20.05.2023 05:34:00
8155,0,Niederhasli,Niederhasli,ZH,89,Niederglatt,GEN,20.05.2023 05:34:00
8155,0,Niederhasli,Niederhasli,ZH,90,Niederhasli,GEN,20.05.2023 05:34:00
8156,0,Oberhasli,Oberhasli,ZH,90,Niederhasli,GEN,20.05.2023 05:34:00
8155,1,Nassenwil,Nassenwil,ZH,90,Niederhasli,GEN,20.05.2023 05:34:01
8166,0,Niederweningen,Niederweningen,ZH,91,Niederweningen,GEN,20.05.2023 05:34:00
8154,0,Oberglatt ZH,Oberglatt ZH,ZH,92,Oberglatt,GEN,20.05.2023 05:34:00
8165,2,Oberweningen,Oberweningen,ZH,93,Oberweningen,GEN,20.05.2023 05:34:01
5462,0,Siglistorf,Siglistorf,ZH,93,Oberweningen,GEN,20.05.2023 05:34:00
8112,0,Otelfingen,Otelfingen,ZH,94,Otelfingen,GEN,20.05.2023 05:34:00
8107,0,Buchs ZH,Buchs ZH,ZH,94,Otelfingen,GEN,20.05.2023 05:34:00
8158,0,Regensberg,Regensberg,ZH,95,Regensberg,GEN,20.05.2023 05:34:00
8105,0,Regensdorf,Regensdorf,ZH,96,Regensdorf,GEN,20.05.2023 05:34:00
8106,2,Adlikon b.Regensdf,Adlikon b. Regensdorf,ZH,96,Regensdorf,GEN,20.05.2023 05:34:01
8105,2,Watt,Watt,ZH,96,Regensdorf,GEN,20.05.2023 05:34:00
8153,0,Rümlang,Rümlang,ZH,97,Rümlang,GEN,20.05.2023 05:34:00
8052,0,Zürich,Zürich,ZH,97,Rümlang,GEN,20.05.2023 05:34:00
8152,0,Glattbrugg,Glattbrugg,ZH,97,Rümlang,GEN,20.05.2023 05:34:00
8165,3,Schleinikon,Schleinikon,ZH,98,Schleinikon,GEN,20.05.2023 05:34:01
8165,0,Schöfflisdorf,Schöfflisdorf,ZH,99,Schöfflisdorf,GEN,20.05.2023 05:34:00
8174,0,Stadel,Stadel b. Niederglatt,ZH,100,Stadel,GEN,20.05.2023 05:34:00
8175,0,Windlach,Windlach,ZH,100,Stadel,GEN,20.05.2023 05:34:00
8162,0,Steinmaur,Steinmaur,ZH,101,Steinmaur,GEN,20.05.2023 05:34:00
8162,1,Sünikon,Sünikon,ZH,101,Steinmaur,GEN,20.05.2023 05:34:01
8155,0,Niederhasli,Niederhasli,ZH,101,Steinmaur,GEN,20.05.2023 05:34:00
8187,0,Weiach,Weiach,ZH,102,Weiach,GEN,20.05.2023 05:34:00
8344,0,Bäretswil,Bäretswil,ZH,111,Bäretswil,GEN,20.05.2023 05:34:00
8498,0,Gibswil,Gibswil,ZH,111,Bäretswil,GEN,20.05.2023 05:34:00
8340,0,Hinwil,Hinwil,ZH,111,Bäretswil,GEN,20.05.2023 05:34:00
8345,0,Adetswil,Adetswil,ZH,111,Bäretswil,GEN,20.05.2023 05:34:00
8608,0,Bubikon,Bubikon,ZH,112,Bubikon,GEN,20.05.2023 05:34:00
8633,0,Wolfhausen,Wolfhausen,ZH,112,Bubikon,GEN,20.05.2023 05:34:00
8635,0,Dürnten,Dürnten,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8636,0,Wald ZH,Wald ZH,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8340,0,Hinwil,Hinwil,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8632,0,Tann,Tann,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8608,0,Bubikon,Bubikon,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8630,0,Rüti ZH,Rüti ZH,ZH,113,Dürnten,GEN,20.05.2023 05:34:00
8496,0,Steg im Tösstal,Steg im Tösstal,ZH,114,Fischenthal,GEN,20.05.2023 05:34:00
8497,0,Fischenthal,Fischenthal,ZH,114,Fischenthal,GEN,20.05.2023 05:34:00
8494,0,Bauma,Bauma,ZH,114,Fischenthal,GEN,20.05.2023 05:34:00
8498,0,Gibswil,Gibswil,ZH,114,Fischenthal,GEN,20.05.2023 05:34:00
8626,0,Ottikon,Ottikon (Gossau ZH),ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8625,0,Gossau ZH,Gossau ZH,ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8627,0,Grüningen,Grüningen,ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8617,0,Mönchaltorf,Mönchaltorf,ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8614,0,Bertschikon Gossau,Bertschikon (Gossau ZH),ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8624,0,Grüt (Gossau ZH),Grüt (Gossau ZH),ZH,115,Gossau (ZH),GEN,20.05.2023 05:34:00
8627,0,Grüningen,Grüningen,ZH,116,Grüningen,GEN,20.05.2023 05:34:00
8340,0,Hinwil,Hinwil,ZH,117,Hinwil,GEN,20.05.2023 05:34:00
8498,0,Gibswil,Gibswil,ZH,117,Hinwil,GEN,20.05.2023 05:34:00
8342,0,Wernetshausen,Wernetshausen,ZH,117,Hinwil,GEN,20.05.2023 05:34:00
8630,0,Rüti ZH,Rüti ZH,ZH,118,Rüti (ZH),GEN,20.05.2023 05:34:00
8636,0,Wald ZH,Wald ZH,ZH,118,Rüti (ZH),GEN,20.05.2023 05:34:00
8607,0,Aathal-Seegräben,Aathal-Seegräben,ZH,119,Seegräben,GEN,20.05.2023 05:34:00
8636,0,Wald ZH,Wald ZH,ZH,120,Wald (ZH),GEN,20.05.2023 05:34:00
8637,0,Laupen ZH,Laupen ZH,ZH,120,Wald (ZH),GEN,20.05.2023 05:34:00
8497,0,Fischenthal,Fischenthal,ZH,120,Wald (ZH),GEN,20.05.2023 05:34:00
8623,0,Wetzikon ZH,Wetzikon ZH,ZH,121,Wetzikon (ZH),GEN,20.05.2023 05:34:00
8620,0,Wetzikon ZH,Wetzikon ZH,ZH,121,Wetzikon (ZH),GEN,20.05.2023 05:34:00
8345,0,Adetswil,Adetswil,ZH,121,Wetzikon (ZH),GEN,20.05.2023 05:34:00
8134,0,Adliswil,Adliswil,ZH,131,Adliswil,GEN,20.05.2023 05:34:00
8041,0,Zürich,Zürich,ZH,131,Adliswil,GEN,20.05.2023 05:34:00
8802,0,Kilchberg ZH,Kilchberg ZH,ZH,135,Kilchberg (ZH),GEN,20.05.2023 05:34:00
8803,0,Rüschlikon,Rüschlikon,ZH,135,Kilchberg (ZH),GEN,20.05.2023 05:34:00
8135,0,Langnau am Albis,Langnau am Albis,ZH,136,Langnau am Albis,GEN,20.05.2023 05:34:00
8942,0,Oberrieden,Oberrieden,ZH,137,Oberrieden,GEN,20.05.2023 05:34:00
8805,0,Richterswil,Richterswil,ZH,138,Richterswil,GEN,20.05.2023 05:34:00
8833,0,Samstagern,Samstagern,ZH,138,Richterswil,GEN,20.05.2023 05:34:00
8803,0,Rüschlikon,Rüschlikon,ZH,139,Rüschlikon,GEN,20.05.2023 05:34:00
8800,0,Thalwil,Thalwil,ZH,141,Thalwil,GEN,20.05.2023 05:34:00
8136,0,Gattikon,Gattikon,ZH,141,Thalwil,GEN,20.05.2023 05:34:00
8703,0,Erlenbach ZH,Erlenbach ZH,ZH,151,Erlenbach (ZH),GEN,20.05.2023 05:34:00
8704,0,Herrliberg,Herrliberg,ZH,152,Herrliberg,GEN,20.05.2023 05:34:00
8703,0,Erlenbach ZH,Erlenbach ZH,ZH,152,Herrliberg,GEN,20.05.2023 05:34:00
8634,0,Hombrechtikon,Hombrechtikon,ZH,153,Hombrechtikon,GEN,20.05.2023 05:34:00
8627,0,Grüningen,Grüningen,ZH,153,Hombrechtikon,GEN,20.05.2023 05:34:00
8714,0,Feldbach,Feldbach,ZH,153,Hombrechtikon,GEN,20.05.2023 05:34:00
8700,0,Küsnacht ZH,Küsnacht ZH,ZH,154,Küsnacht (ZH),GEN,20.05.2023 05:34:00
8127,0,Forch,Forch,ZH,154,Küsnacht (ZH),GEN,20.05.2023 05:34:00
8708,0,Männedorf,Männedorf,ZH,155,Männedorf,GEN,20.05.2023 05:34:00
8618,0,Oetwil am See,Oetwil am See,ZH,155,Männedorf,GEN,20.05.2023 05:34:00
8706,0,Meilen,Meilen,ZH,156,Meilen,GEN,20.05.2023 05:34:00
8618,0,Oetwil am See,Oetwil am See,ZH,157,Oetwil am See,GEN,20.05.2023 05:34:00
8712,0,Stäfa,Stäfa,ZH,158,Stäfa,GEN,20.05.2023 05:34:00
8713,0,Uerikon,Uerikon,ZH,158,Stäfa,GEN,20.05.2023 05:34:00
8634,0,Hombrechtikon,Hombrechtikon,ZH,158,Stäfa,GEN,20.05.2023 05:34:00
8707,0,Uetikon am See,Uetikon am See,ZH,159,Uetikon am See,GEN,20.05.2023 05:34:00
8126,0,Zumikon,Zumikon,ZH,160,Zumikon,GEN,20.05.2023 05:34:00
8702,0,Zollikon,Zollikon,ZH,161,Zollikon,GEN,20.05.2023 05:34:00
8125,0,Zollikerberg,Zollikerberg,ZH,161,Zollikon,GEN,20.05.2023 05:34:00
8320,0,Fehraltorf,Fehraltorf,ZH,172,Fehraltorf,GEN,20.05.2023 05:34:00
8308,0,Illnau,Illnau,ZH,172,Fehraltorf,GEN,20.05.2023 05:34:00
8308,2,Agasul,Agasul,ZH,172,Fehraltorf,GEN,20.05.2023 05:34:00
8335,0,Hittnau,Hittnau,ZH,173,Hittnau,GEN,20.05.2023 05:34:00
8317,0,Tagelswangen,Tagelswangen,ZH,176,Lindau,GEN,20.05.2023 05:34:01
8315,0,Lindau,Lindau,ZH,176,Lindau,GEN,20.05.2023 05:34:00
8312,0,Winterberg ZH,Winterberg ZH,ZH,176,Lindau,GEN,20.05.2023 05:34:00
8310,0,Kemptthal,Kemptthal,ZH,176,Lindau,GEN,20.05.2023 05:34:00
8310,1,Grafstal,Grafstal,ZH,176,Lindau,GEN,20.05.2023 05:34:01
8330,0,Pfäffikon ZH,Pfäffikon ZH,ZH,177,Pfäffikon,GEN,20.05.2023 05:34:00
